#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-02-12T14:00:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#ACO	RAB1950	DEB1950	BMtype	Count	GLON	GLAT	z	Rich	Dclass	m10	_RA.icrs	_DE.icrs	label_offset	Pet name
# 	"h:m:s"	"d:m:s"	 	ct	deg	deg	 	 	 	mag	"h:m:s"		"d:m:s"  	"dx,dy"
#----	-------	------	-------	---	------	------	-------	-	-	----	--------	--------	------------	--------
-----	03 26.0	-20 50	-------	200	211.33	-53.74	 0.0056 -1	-1	-1	03 28 13.8	-20 44 40	+0.0 -0.1	Eridanus
-----	12 24.5	+12 59	III	999	280.08	 74.49	 0.0033 -1	-1	-1	12 27 00.0      +12 43 00	+0.0 -0.1	Virgo
# 2870	01 05.5	-47 11	I      	 33	294.81	-69.95	 0.0250	0	3	15.0	01 07 43.2	-46 55 00	+0.0 -0.1	
 2877	01 07.6	-46 10	I      	 30	293.14	-70.88	 0.0241	0	2	14.1	01 09 49.3	-45 54 02	+0.0 -0.1	
# 2911	01 23.8	-38 14	I-II   	 72	271.27	-76.95	 0.0202	1	4	16.1	01 26 02.8	-37 58 26	+0.0 -0.1	
# 2933	01 38.8	-54 49	III    	 77	288.10	-61.12	 0.0208	1	5	16.7	01 40 42.0	-54 33 51	+0.0 -0.1	
 3381	06 08.1	-33 35	I      	 69	240.30	-22.70	 0.0282	1	2	14.7	06 09 55.4	-33 35 39	+0.0 -0.1	
 3389	06 21.6	-64 56	II-III 	 35	274.70	-27.50	 0.0248	0	2	14.5	06 21 47.4	-64 57 35	+0.0 -0.1	
 3526	12 46.1	-41 02	I-II:  	 33	302.42	 21.56	 0.0110	0	0	12.9	12 48 51.8	-41 18 21	+0.0 -0.1	Centaurus
 3537	12 58.3	-32 10	I-II   	 35	305.29	 30.39	 0.0167	0	2	13.9	13 01 02.6	-32 26 09	-0.1 -0.1	
 3554	13 16.7	-33 13	I-II   	 59	309.63	 29.03	 0.0153	1	4	16.0	13 19 30.5	-33 28 45	+0.1 -0.1	
 3560	13 29.0	-32 58	I      	184	312.59	 28.89	 0.0109	3	3	14.7	13 31 50.5	-33 13 25	-0.1 -0.1	
 3565	13 33.8	-33 43	I      	 64	313.55	 27.97	 0.0109	1	1	13.7	13 36 39.9	-33 58 17	+0.1 -0.1	
 3574	13 46.3	-30 03	I      	 31	317.47	 30.94	 0.0141	0	1	13.0	13 49 09.4	-30 17 54	-0.1 +0.1	
 3627	16 11.2	-60 47	I      	 59	325.34	 -7.26	 0.0143	1	1	14.2	16 15 32.8	-60 54 30	+0.0 -0.1	Norma
 3656	19 57.2	-38 40	I-II   	 35	  1.96	-29.39	 0.0185	0	1	13.5	20 00 32.1	-38 31 43	+0.0 -0.1	
# 3706	20 39.0	-38 31	II     	 41	  3.89	-37.40	 0.0200	0	4	16.1	20 42 14.3	-38 20 14	+0.0 -0.1	
# 3742	21 03.3	-47 21	II-III 	 35	352.60	-42.15	 0.0165	0	3	15.1	21 06 41.8	-47 08 56	+0.0 -0.1	
# 3879	22 24.1	-69 17	I-II   	114	319.66	-43.14	 0.0224	2	4	16.0	22 27 49.8	-69 01 41	+0.0 -0.1	
# 3990	23 15.7	-68 03	II-III 	 98	315.55	-47.02	 0.0286	2	6	19.0	23 18 46.3	-67 46 35	+0.0 -0.1	
 4038	23 45.1	-28 25	III    	117	 25.16	-75.86	 0.0283	2	2	14.0	23 47 41.9	-28 08 19	+0.0 -0.1	
 4049	23 49.0	-28 39	III    	 39	 24.11	-76.71	 0.0283	0	3	14.8	23 51 35.3	-28 22 18	+0.0 -0.1	
#   S6	00 02.2	-30 46	I      	  7	 11.99	-79.24	 0.0270	0	3	15.4	00 04 45.2	-30 29 18	+0.0 -0.1	
#  S45	00 23.3	-57 15	II     	 20	309.92	-59.80	 0.0241	0	4	16.7	00 25 40.7	-56 58 23	+0.0 -0.1	
#  S74	00 43.4	-50 13	II     	 21	305.32	-67.16	 0.0283	0	4	15.7	00 45 42.3	-49 56 36	+0.0 -0.1	
#  S85	00 47.6	-47 39	II     	 -6	303.69	-69.75	 0.0196	0	4	16.0	00 49 54.4	-47 22 40	+0.0 -0.1	
# S137	01 09.9	-61 48	I      	-13	298.66	-55.42	 0.0263	0	3	15.4	01 11 50.0	-61 32 05	+0.0 -0.1	
# S141	01 11.4	-32 01	I      	 12	257.87	-83.30	 0.0206	0	3	15.4	01 13 44.8	-31 45 07	+0.0 -0.1	
# S182	01 41.2	-36 37	II     	  5	256.13	-75.62	 0.0175	0	5	16.6	01 43 24.4	-36 21 56	+0.0 -0.1	
# S283	02 33.8	-50 32	II     	  9	269.44	-59.50	 0.0212	0	5	16.8	02 35 31.2	-50 18 57	+0.0 -0.1	
 S301	02 47.5	-31 24	I      	  5	229.02	-63.96	 0.0223	0	3	14.7	02 49 36.5	-31 11 37	+0.0 -0.1	
# S311	02 53.6	-66 37	I-II   	 15	285.69	-46.38	 0.0263	0	5	16.8	02 54 23.9	-66 24 53	+0.0 -0.1	
# S316	02 58.3	-37 14	II     	  6	241.13	-61.14	 0.0201	0	4	15.5	03 00 16.1	-37 02 09	+0.0 -0.1	
 S373	03 36.6	-35 37	I      	-18	236.73	-53.63	 0.0046	0	0	10.1	03 38 30.9	-35 27 16	+0.0 -0.1	Fornax	
 S500	04 46.2	-62 33	II     	-11	272.75	-38.12	 0.0190	0	3	14.8	04 46 43.9	-62 27 44	+0.0 -0.1	
 S521	05 17.3	-37 09	I      	  0	241.19	-33.61	 0.0150	0	2	14.5	05 19 02.0	-37 05 58	+0.0 -0.1	
# S574	06 11.1	-45 04	I      	 19	252.54	-25.40	 0.0140	0	3	15.4	06 12 32.8	-45 04 52	+0.0 -0.1	
 S585	06 22.2	-64 54	I      	  1	274.67	-27.43	 0.0241	0	2	14.7	06 22 23.7	-64 55 37	+0.0 -0.1	
 S636	10 27.8	-35 04	I-II   	  1	272.96	 19.19	 0.0087	0	1	13.2	10 30 03.5	-35 19 24	+0.0 -0.1	Antlia
 S639	10 38.4	-45 56	I-II   	 14	280.54	 10.91	 0.0204	0	2	14.8	10 40 33.9	-46 11 41	+0.0 -0.1	
 S753	14 00.7	-33 44	I      	 18	319.63	 26.55	 0.0140	0	1	13.6	14 03 38.5	-33 58 23	+0.1 +0.1	
# S754	14 03.3	-39 35	I-II   	 -9	318.23	 20.82	 0.0281	0	4	16.1	14 06 20.5	-39 49 17	+0.0 -0.1	
 S778	14 53.3	-37 24	I-II   	  4	328.70	 18.94	 0.0237	0	2	14.6	14 56 27.2	-37 36 05	+0.0 -0.1	
 S805	18 42.5	-63 23	I      	  8	332.26	-23.59	 0.0139	0	2	14.7	18 47 14.4	-63 19 45	+0.0 -0.1	
 S840	19 59.4	-56 06	I-II:  	 15	341.89	-32.12	 0.0152	0	1	13.9	20 03 23.4	-55 57 33	+0.0 -0.1	
 S851	20 06.3	-48 32	I      	  6	350.92	-32.64	 0.0100	0	1	13.4	20 09 55.7	-48 23 08	+0.0 -0.1	
# S866	20 18.2	-49 52	I-II   	 -4	349.49	-34.68	 0.0183	0	3	15.1	20 21 50.5	-49 42 25	+0.0 -0.1	
# S882	20 32.1	-43 37	I      	-14	357.36	-36.65	 0.0290	0	4	16.1	20 35 29.5	-43 26 37	+0.0 -0.1	
# S892	20 38.5	-37 50	II     	 16	  4.72	-37.21	 0.0254	0	4	16.0	20 41 43.4	-37 39 15	+0.0 -0.1	
# S897	20 44.2	-38 36	I      	 25	  3.94	-38.42	 0.0224	0	4	15.6	20 47 25.6	-38 24 56	+0.0 -0.1	
# S898	20 44.4	-30 21	I-II   	  3	 14.23	-37.03	 0.0282	0	5	16.8	20 47 27.0	-30 09 56	+0.0 -0.1	
# S921	21 03.5	-45 02	II     	 27	355.72	-42.30	 0.0290	0	3	15.3	21 06 49.8	-44 49 55	+0.0 -0.1	
# S924	21 04.5	-47 23	I      	 13	352.54	-42.35	 0.0165	0	4	15.7	21 07 53.6	-47 10 52	+0.0 -0.1	
#S1065	22 46.5	-37 45	I      	-17	  3.24	-62.35	 0.0288	0	4	15.6	22 49 19.7	-37 29 07	+0.0 -0.1	
#S1165	23 56.1	-30 08	I-II   	  3	 16.61	-78.10	 0.0299	0	4	15.5	23 58 40.2	-29 51 18	+0.0 -0.1	
 S900	20 45.5	-38 11	I      	 12	  4.51	-38.62	 0.0243	0	2	14.5	20 48 42.8	-37 59 52	+0.0 -0.1	
